"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","49","913025","0.0-13.0-7.0-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","376","","","","","","","","","","","","","","j","yesOrNo_prac","","","","5","","","gt","700","","","","",""
"","","","","","html-keyboard-response","50","914579","0.0-13.0-7.0-0.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","51","915291","0.0-13.0-7.0-1.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","close gt","700","","","","",""
"","","","","","html-keyboard-response","52","917845","0.0-13.0-8.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","2550","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","919426","0.0-13.0-9.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","54","922441","0.0-13.0-9.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","552","","","","","","","","","","","","","","j","yesOrNo_prac","","","","5","","","far gt","3000","","","","",""
"","","","","","html-keyboard-response","55","924009","0.0-13.0-9.0-0.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","56","927021","0.0-13.0-9.0-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1604","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","57","928591","0.0-13.0-9.0-0.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","365","249","2","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","58","931600","0.0-13.0-9.0-1.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1329","","","","","","","","","","","","","","f","yesOrNo_prac","","","","2","","","gt","3000","","","","",""
"","","","","","html-button-response","59","940805","0.0-13.0-10.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","9199","","","","","","","","","","","","","<p>Oops! You did not pass the practice test. You missed 2 out of 6 trials.</p><p>You will now repeat the practice and the test.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","60","952323","0.0-13.1-0.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":11515}]","11516","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","956285","0.0-13.1-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","3961","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","957848","0.0-13.1-2.1-0.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","63","960862","0.0-13.1-2.1-1.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","2496","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","64","962413","0.0-13.1-2.1-0.4","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","65","965419","0.0-13.1-2.1-1.4","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","2653","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","far gt","3000","","","","",""
"","","","","","html-keyboard-response","66","966996","0.0-13.1-2.1-0.5","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","67","970002","0.0-13.1-2.1-1.5","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","946","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","gt","3000","","","","",""
"","","","","","html-keyboard-response","68","971440","0.0-13.1-3.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1437","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>0.7 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","972993","0.0-13.1-4.1-0.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","70","973708","0.0-13.1-4.1-1.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","gt","700","","","","",""
"","","","","","html-keyboard-response","71","975279","0.0-13.1-4.1-0.4","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","72","975986","0.0-13.1-4.1-1.4","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","301","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","far gt","700","","","","",""
"","","","","","html-keyboard-response","73","978095","0.0-13.1-4.1-0.5","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","74","978806","0.0-13.1-4.1-1.5","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","614","","","","","","","","","","","","","","f","yesOrNo_prac","","","","3","","","close gt","700","","","","",""
"","","","","","instructions","75","983231","0.0-13.1-5.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":4424}]","4425","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","987951","0.0-13.1-6.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","4720","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>0.7 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","989523","0.0-13.1-7.1-0.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","78","990237","0.0-13.1-7.1-1.3","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","548","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","far gt","700","","","","",""
