"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","survey-multi-choice","40","568236","0.0-11.1-1.1-1.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","4740","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","41","573326","0.0-11.1-1.1-2.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","5090","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","42","580665","0.0-11.1-1.1-3.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","7338","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","43","590575","0.0-11.1-1.1-4.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","9910","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","44","610607","0.0-11.1-1.1-5.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","20031","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","45","639653","0.0-11.1-1.1-6.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","29046","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","","",""
"","","","","","instructions","46","672876","0.0-12.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","[{""page_index"":0,""viewing_time"":8493},{""page_index"":1,""viewing_time"":13460},{""page_index"":2,""viewing_time"":8580},{""page_index"":3,""viewing_time"":2690}]","33223","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","47","676374","0.0-13.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","[{""page_index"":0,""viewing_time"":3498}]","3498","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","686215","0.0-13.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","9840","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","687769","0.0-13.0-2.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","50","690773","0.0-13.0-2.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","1","","","far gt","3000","","","","","",""
