"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","comprehensionCheck","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","71","367133","0.0-8.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","72","370015","0.0-8.0-1.5","","","","","","","","","","","","","","","","539.9999999815439","222.01","2880","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","72","370015","0.0-8.0-1.5","","","","","","","","","","reconstruct","","","","","","539.9999999815439","222.01","2880","","","","","","","","","","2","375","350","208.8215508368556","190.8057888129016","61.98162388008209","false"
"","","","","","html-keyboard-response","73","373019","0.0-8.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","74","376349","0.0-8.0-1.6","","","","","","","","","","","","","","","","337.99003376306973","255.00082104899346","3328","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","74","376349","0.0-8.0-1.6","","","","","","","","","","reconstruct","","","","","","337.99003376306973","255.00082104899346","3328","","","","","","","","","","5","625","250","287.05352973006256","156.59193467592334","346.03084257557725","false"
"","","","","","html-keyboard-response","75","379351","0.0-8.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","76","381732","0.0-8.0-1.7","","","","","","","","","","","","","","","","346.0099997634237","242.99993121432166","2379","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","381732","0.0-8.0-1.7","","","","","","","","","","reconstruct","","","","","","346.0099997634237","242.99993121432166","2379","","","","","","","","","","2","375","350","110.8577233838788","280.384745645512","344.283159542172","false"
"","","","","","html-keyboard-response","77","384734","0.0-8.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","78","386664","0.0-8.0-1.8","","","","","","","","","","","","","","","","385.009999996624","251.0000082170417","1928","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","78","386664","0.0-8.0-1.8","","","","","","","","","","reconstruct","","","","","","385.009999996624","251.0000082170417","1928","","","","","","","","","","3","500","250","114.99434819681602","77.26089850056657","191.06224322378546","false"
"","","","","","html-keyboard-response","79","389669","0.0-8.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","80","391731","0.0-8.0-1.9","","","","","","","","","","","","","","","","460.99000049981254","248.999900019995","2060","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","80","391731","0.0-8.0-1.9","","","","","","","","","","reconstruct","","","","","","460.99000049981254","248.999900019995","2060","","","","","","","","","","5","625","250","164.0130486760779","166.09585063755407","84.03036018931702","true"
"","","","","","html-keyboard-response","81","394734","0.0-8.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","82","396932","0.0-8.0-1.10","","","","","","","","","","","","","","","","454.0099999997931","251.0000020343441","2196","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","82","396932","0.0-8.0-1.10","","","","","","","","","","reconstruct","","","","","","454.0099999997931","251.0000020343441","2196","","","","","","","","","","3","500","250","46.0008706883655","62.57845677178917","104.33311541682079","false"
"","","","","","html-keyboard-response","83","399935","0.0-8.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","84","402449","0.0-8.0-1.11","","","","","","","","","","","","","","","","695.9999000000031","234.99000050001246","2512","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","84","402449","0.0-8.0-1.11","","","","","","","","","","reconstruct","","","","","","695.9999000000031","234.99000050001246","2512","","","","","","","","","","4","500","350","227.2515363754409","159.6412221142257","175.71230466307927","false"
"","","","","","html-keyboard-response","85","405453","0.0-8.0-0.12","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","86","407998","0.0-8.0-1.12","","","","","","","","","","","","","","","","361.0001000152195","233.0099994998353","2544","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","86","407998","0.0-8.0-1.12","","","","","","","","","","reconstruct","","","","","","361.0001000152195","233.0099994998353","2544","","","","","","","","","","2","375","350","117.82468933382509","328.0187522540336","308.2073603505752","true"
"","","","","","html-keyboard-response","87","411001","0.0-8.0-0.13","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","88","413449","0.0-8.0-1.13","","","","","","","","","","","","","","","","501","245.99","2447","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","88","413449","0.0-8.0-1.13","","","","","","","","","","reconstruct","","","","","","501","245.99","2447","","","","","","","","","","4","500","350","104.01480711898665","147.15322584009792","59.25922956642506","true"
"","","","","","html-keyboard-response","89","416452","0.0-8.0-0.14","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","90","419799","0.0-8.0-1.14","","","","","","","","","","","","","","","","661.9986585432322","198.00990961622568","3345.000000000058","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","90","419799","0.0-8.0-1.14","","","","","","","","","","reconstruct","","","","","","661.9986585432322","198.00990961622568","3345.000000000058","","","","","","","","","","5","625","250","63.811207731179245","64.35627588000405","6.769484092856632","true"
