"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","41","222199","0.0-6.0-1.13","","","","","","","","","","reconstruct","","","","","","638.0000000000025","263.99","3025.5","","","","","","","","","6","625","350","86.98689613959142","268.69413695864046","296.8166218619204","false"
"","","","","","html-keyboard-response","42","225205","0.0-6.0-0.14","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","43","227865","0.0-6.0-1.14","","","","","","","","","","","","","","","","493.01","273.0000000050198","2659.9000000059605","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","227865","0.0-6.0-1.14","","","","","","","","","","reconstruct","","","","","","493.01","273.0000000050198","2659.9000000059605","","","","","","","","","4","500","350","77.3166223992419","27.732965791411512","59.33173748111041","false"
"","","","","","html-keyboard-response","44","230868","0.0-6.0-0.15","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","45","234349","0.0-6.0-1.15","","","","","","","","","","","","","","","","459.00448513272084","286.0089377617151","3480.7000000178814","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","234349","0.0-6.0-1.15","","","","","","","","","","reconstruct","","","","","","459.00448513272084","286.0089377617151","3480.7000000178814","","","","","","","","","2","375","350","105.60118166383161","137.19733396245016","97.89099545494628","true"
"","","","","","html-keyboard-response","46","237352","0.0-6.0-0.16","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","47","240299","0.0-6.0-1.16","","","","","","","","","","","","","","","","514.0000702006739","290.00999975359025","2946.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","240299","0.0-6.0-1.16","","","","","","","","","","reconstruct","","","","","","514.0000702006739","290.00999975359025","2946.5","","","","","","","","","2","375","350","151.39293129256902","160.30239445411223","99.94239239366023","true"
