"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"","","","","","html-keyboard-response","53","99493","0.0-5.0-1.6","","","","","","","","","","","","","","","","","","","","","","","","","625","350","402.99999999998545","","",""
"","","","","","html-keyboard-response","53","99493","0.0-5.0-1.6","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","402.99999999998545","6","625","350"
"","","","","","html-keyboard-response","54","102496","0.0-5.0-0.7","","","","","","","","","","","","","","","","null","","null","false","322.3","308.07114317029976","253.89","2","fallScene","","","","","",""
"","","","","","html-keyboard-response","55","103059","0.0-5.0-1.7","","","","","","","","","","","","","","","","","","","","","","","","","625","350","561.9999999999854","","",""
"","","","","","html-keyboard-response","55","103059","0.0-5.0-1.7","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","561.9999999999854","6","625","350"
"","","","","","html-keyboard-response","56","106061","0.0-5.0-0.8","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","",""
"","","","","","html-keyboard-response","57","106397","0.0-5.0-1.8","","","","","","","","","","","","","","","","","","","","","","","","","375","350","334","","",""
"","","","","","html-keyboard-response","57","106397","0.0-5.0-1.8","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","350","334","2","375","350"
"","","","","","html-keyboard-response","58","109404","0.0-5.0-0.9","","","","","","","","","","","","","","","","null","","null","false","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","59","109895","0.0-5.0-1.9","","","","","","","","","","","","","","","","","","","","","","","","","625","350","490","","",""
"","","","","","html-keyboard-response","59","109895","0.0-5.0-1.9","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","490","6","625","350"
"","","","","","html-keyboard-response","60","112898","0.0-5.0-0.10","","","","","","","","","","","","","","","","null","","null","false","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","61","113296","0.0-5.0-1.10","","","","","","","","","","","","","","","","","","","","","","","","","625","250","397","","",""
"","","","","","html-keyboard-response","61","113297","0.0-5.0-1.10","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","397","5","625","250"
"","","","","","html-keyboard-response","62","116299","0.0-5.0-0.11","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","",""
"","","","","","html-keyboard-response","63","116809","0.0-5.0-1.11","","","","","","","","","","","","","","","","","","","","","","","","","625","250","509","","",""
"","","","","","html-keyboard-response","63","116809","0.0-5.0-1.11","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","509","5","625","250"
"","","","","","html-keyboard-response","64","119811","0.0-5.0-0.12","","","","","","","","","","","","","","","","null","","null","false","500","553.4711431702997","282.51","7","fallScene","","","","","",""
"","","","","","html-keyboard-response","65","120284","0.0-5.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","","625","350","471","","",""
"","","","","","html-keyboard-response","65","120284","0.0-5.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","471","6","625","350"
"","","","","","html-keyboard-response","66","123291","0.0-5.0-0.13","","","","","","","","","","","","","","","","null","","null","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","",""
"","","","","","html-keyboard-response","67","123909","0.0-5.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","","625","350","617","","",""
"","","","","","html-keyboard-response","67","123909","0.0-5.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","617","6","625","350"
"","","","","","html-keyboard-response","68","126912","0.0-5.0-0.14","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","",""
"","","","","","html-keyboard-response","69","127412","0.0-5.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","","375","250","497.99999999998545","","",""
"","","","","","html-keyboard-response","69","127412","0.0-5.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","497.99999999998545","1","375","250"
"","","","","","html-keyboard-response","70","130416","0.0-5.0-0.15","","","","","","","","","","","","","","","","null","","null","true","500","553.4711431702997","282.51","7","fallScene","","","","","",""
"","","","","","html-keyboard-response","71","130878","0.0-5.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","","375","250","459","","",""
"","","","","","html-keyboard-response","71","130878","0.0-5.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","459","1","375","250"
"","","","","","html-keyboard-response","72","133882","0.0-5.0-0.16","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","",""
"","","","","","html-keyboard-response","73","134585","0.0-5.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","","500","250","700","","",""
"","","","","","html-keyboard-response","73","134585","0.0-5.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","700","3","500","250"
"","","","","","html-keyboard-response","74","137598","0.0-5.0-0.17","","","","","","","","","","","","","","","","null","","null","false","322.3","356.42114317029973","357.87","4","fallScene","","","","","",""
"","","","","","html-keyboard-response","75","137952","0.0-5.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","","375","250","352","","",""
"","","","","","html-keyboard-response","75","137952","0.0-5.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","352","1","375","250"
"","","","","","html-button-response","76","139628","0.0-6.0","","","","","","","","","","","","","","","","1674","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","142631","0.0-7.0-0.0","","","","","","","","","","","","","","","","null","","null","false","500","453.67114317029973","210.33","5","fallScene","","","","","",""
"","","","","","html-keyboard-response","78","144365","0.0-7.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","625","350","1732","","",""
"","","","","","html-keyboard-response","78","144365","0.0-7.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","350","1732","6","625","350"
"","","","","","html-keyboard-response","79","147369","0.0-7.0-0.1","","","","","","","","","","","","","","","","null","","null","true","322.3","356.42114317029973","357.87","4","fallScene","","","","","",""
"","","","","","html-keyboard-response","80","148048","0.0-7.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","","375","350","678","","",""
"","","","","","html-keyboard-response","80","148048","0.0-7.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","350","678","2","375","350"
"","","","","","html-keyboard-response","81","151052","0.0-7.0-0.2","","","","","","","","","","","","","","","","null","","null","true","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","82","151448","0.0-7.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","","500","350","394","","",""
"","","","","","html-keyboard-response","82","151448","0.0-7.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","394","4","500","350"
"","","","","","html-keyboard-response","83","154460","0.0-7.0-0.3","","","","","","","","","","","","","","","","null","","null","false","322.3","308.07114317029976","253.89","2","fallScene","","","","","",""
"","","","","","html-keyboard-response","84","155063","0.0-7.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","","500","250","601","","",""
"","","","","","html-keyboard-response","84","155063","0.0-7.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","601","3","500","250"
"","","","","","html-keyboard-response","85","158069","0.0-7.0-0.4","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","",""
"","","","","","html-keyboard-response","86","158847","0.0-7.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","","500","350","776","","",""
"","","","","","html-keyboard-response","86","158847","0.0-7.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","776","4","500","350"
"","","","","","html-keyboard-response","87","161852","0.0-7.0-0.5","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","",""
"","","","","","html-keyboard-response","88","162400","0.0-7.0-1.5","","","","","","","","","","","","","","","","","","","","","","","","","375","250","546","","",""
"","","","","","html-keyboard-response","88","162400","0.0-7.0-1.5","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","546","1","375","250"
"","","","","","html-keyboard-response","89","165407","0.0-7.0-0.6","","","","","","","","","","","","","","","","null","","null","false","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","90","166027","0.0-7.0-1.6","","","","","","","","","","","","","","","","","","","","","","","","","375","350","619","","",""
"","","","","","html-keyboard-response","90","166027","0.0-7.0-1.6","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","350","619","2","375","350"
"","","","","","html-keyboard-response","91","169030","0.0-7.0-0.7","","","","","","","","","","","","","","","","null","","null","false","322.3","356.42114317029973","357.87","4","fallScene","","","","","",""
"","","","","","html-keyboard-response","92","169484","0.0-7.0-1.7","","","","","","","","","","","","","","","","","","","","","","","","","500","250","452","","",""
"","","","","","html-keyboard-response","92","169484","0.0-7.0-1.7","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","452","3","500","250"
"","","","","","html-keyboard-response","93","172492","0.0-7.0-0.8","","","","","","","","","","","","","","","","null","","null","true","500","553.4711431702997","282.51","7","fallScene","","","","","",""
"","","","","","html-keyboard-response","94","174376","0.0-7.0-1.8","","","","","","","","","","","","","","","","","","","","","","","","","420.0000967882795","360.9900004684095","1883","","",""
"","","","","","html-keyboard-response","94","174376","0.0-7.0-1.8","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","420.0000967882795","360.9900004684095","1883","2","375","350"
"","","","","","html-keyboard-response","95","177384","0.0-7.0-0.9","","","","","","","","","","","","","","","","null","","null","false","500","479.92114317029973","330.87","6","fallScene","","","","","",""
"","","","","","html-keyboard-response","96","179202","0.0-7.0-1.9","","","","","","","","","","","","","","","","","","","","","","","","","510.99000068280435","370.99988314273895","1815","","",""
"","","","","","html-keyboard-response","96","179202","0.0-7.0-1.9","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","510.99000068280435","370.99988314273895","1815","4","500","350"
"","","","","","html-keyboard-response","97","182210","0.0-7.0-0.10","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","",""
"","","","","","html-keyboard-response","98","183997","0.0-7.0-1.10","","","","","","","","","","","","","","","","","","","","","","","","","412.0000921186198","365.990000424301","1785","","",""
"","","","","","html-keyboard-response","98","183997","0.0-7.0-1.10","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","412.0000921186198","365.990000424301","1785","2","375","350"
"","","","","","html-keyboard-response","99","187001","0.0-7.0-0.11","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","",""
"","","","","","html-keyboard-response","100","189913","0.0-7.0-1.11","","","","","","","","","","","","","","","","","","","","","","","","","600.0084257120485","345.9946141503479","2908","","",""
"","","","","","html-keyboard-response","100","189913","0.0-7.0-1.11","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","600.0084257120485","345.9946141503479","2908","1","375","250"
"","","","","","html-keyboard-response","101","192935","0.0-7.0-0.12","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","",""
"","","","","","html-keyboard-response","102","194896","0.0-7.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","","625.0070358013055","335.00710615929944","1958","","",""
"","","","","","html-keyboard-response","102","194896","0.0-7.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625.0070358013055","335.00710615929944","1958","6","625","350"
"","","","","","html-keyboard-response","103","197900","0.0-7.0-0.13","","","","","","","","","","","","","","","","null","","null","false","500","510.8711431702997","369.03","8","fallScene","","","","","",""
"","","","","","html-keyboard-response","104","200016","0.0-7.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","","471.99375604839065","326.9921889137567","2114","","",""
"","","","","","html-keyboard-response","104","200016","0.0-7.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","471.99375604839065","326.9921889137567","2114","4","500","350"
"","","","","","html-keyboard-response","105","203027","0.0-7.0-0.14","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","",""
"","","","","","html-keyboard-response","106","203500","0.0-7.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","","625","250","471","","",""
"","","","","","html-keyboard-response","106","203500","0.0-7.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","471","5","625","250"
