"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck"
"","","","","","html-keyboard-response","51","347071","0.0-11.2-0.2-2.2-0.7","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","52","347390","0.0-11.2-0.2-2.2-1.7","","","","passed","","316","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","html-keyboard-response","53","349505","0.0-11.2-0.2-2.2-0.8","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","54","350312","0.0-11.2-0.2-2.2-1.8","","","","passed","","799","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","instructions","55","353085","0.0-11.2-0.2-3.2","","","","passed","[{""page_index"":0,""viewing_time"":1345},{""page_index"":1,""viewing_time"":1426}]","2772","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","56","354480","0.0-11.2-0.2-4.2","","","","passed","","892","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","57","356491","0.0-11.2-1.2-0.2","","","","passed","","2009","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","58","358864","0.0-11.2-1.2-1.2","","","","passed","","2370","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","59","360837","0.0-11.2-1.2-2.2","","","","passed","","1961","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","60","362835","0.0-11.2-1.2-3.2","","","","passed","","1989","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","61","365819","0.0-11.2-1.2-4.2","","","","passed","","2973","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]",""
