"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","53","1860296","0.0-13.0-2.0-0.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","54","1863302","0.0-13.0-2.0-1.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","2724","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","far gt","3000","","","","","",""
"","","","","","html-keyboard-response","55","1868860","0.0-13.0-3.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","5557","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","1870428","0.0-13.0-4.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","57","1871436","0.0-13.0-4.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","gt","1000","","","","","",""
"","","","","","html-keyboard-response","58","1873546","0.0-13.0-4.0-0.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","59","1874552","0.0-13.0-4.0-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","3","","","close gt","1000","","","","","",""
"","","","","","html-keyboard-response","60","1876129","0.0-13.0-4.0-0.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","61","1877136","0.0-13.0-4.0-1.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","4","","","far gt","1000","","","","","",""
"","","","","","instructions","62","1896336","0.0-13.0-5.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":19199}]","19199","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","1901497","0.0-13.0-6.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","5161","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","1903077","0.0-13.0-7.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","65","1904083","0.0-13.0-7.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","5","","","gt","1000","","","","","",""
"","","","","","html-keyboard-response","66","1905645","0.0-13.0-7.0-0.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","67","1906649","0.0-13.0-7.0-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","close gt","1000","","","","","",""
"","","","","","html-keyboard-response","68","1908227","0.0-13.0-7.0-0.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","69","1909233","0.0-13.0-7.0-1.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","687","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","far gt","1000","","","","","",""
"","","","","","html-keyboard-response","70","1913043","0.0-13.0-8.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","3808","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","1914625","0.0-13.0-9.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","72","1917629","0.0-13.0-9.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","696","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","close gt","3000","","","","","",""
